=== START Bayesian-like search (NO repeats) ===
Grid size: 861 total combos
Initial random evals: 20, Max evals: 100, kappa=1.0
Completed computation for 318 (mu,gamma):(0.44, 0.9) model:Amdahl P:128 n:700 
Completed computation for 319 (mu,gamma):(0.44, 0.9) model:Amdahl P:256 n:1000 
Completed computation for 320 (mu,gamma):(0.44, 0.9) model:Amdahl P:4096 n:700 
Completed computation for 321 (mu,gamma):(0.44, 0.9) model:Amdahl P:8192 n:700 
Completed computation for 322 (mu,gamma):(0.44, 0.9) model:Amdahl P:512 n:400 
Completed computation for 323 (mu,gamma):(0.44, 0.9) model:Amdahl P:256 n:400 
Completed computation for 324 (mu,gamma):(0.44, 0.9) model:Amdahl P:8192 n:600 
Completed computation for 325 (mu,gamma):(0.44, 0.9) model:Amdahl P:8192 n:900 
Completed computation for 326 (mu,gamma):(0.44, 0.9) model:Amdahl P:4096 n:800 
Completed computation for 327 (mu,gamma):(0.44, 0.9) model:Amdahl P:512 n:500 
Completed computation for 328 (mu,gamma):(0.44, 0.9) model:Amdahl P:8192 n:800 
Completed computation for 329 (mu,gamma):(0.44, 0.9) model:Amdahl P:2048 n:200 
Completed computation for 330 (mu,gamma):(0.44, 0.9) model:Amdahl P:1024 n:200 
Completed computation for 331 (mu,gamma):(0.44, 0.9) model:Amdahl P:8192 n:500 
Completed computation for 332 (mu,gamma):(0.44, 0.9) model:Amdahl P:256 n:500 
Completed computation for 333 (mu,gamma):(0.44, 0.9) model:Amdahl P:1024 n:100 
Completed computation for 334 (mu,gamma):(0.44, 0.9) model:Amdahl P:1024 n:300 
Completed computation for 335 (mu,gamma):(0.44, 0.9) model:Amdahl P:512 n:900 
Completed computation for 336 (mu,gamma):(0.44, 0.9) model:Amdahl P:256 n:100 
Completed computation for 337 (mu,gamma):(0.44, 0.9) model:Amdahl P:128 n:700 
Completed computation for 338 (mu,gamma):(0.44, 0.9) model:Amdahl P:128 n:1000 
Completed computation for 339 (mu,gamma):(0.44, 0.9) model:Amdahl P:2048 n:700 
Completed computation for 340 (mu,gamma):(0.44, 0.9) model:Amdahl P:2048 n:800 
Completed computation for 341 (mu,gamma):(0.44, 0.9) model:Amdahl P:8192 n:1000 
Completed computation for 342 (mu,gamma):(0.44, 0.9) model:Amdahl P:2048 n:700 
Completed computation for 343 (mu,gamma):(0.44, 0.9) model:Amdahl P:256 n:1000 
Completed computation for 344 (mu,gamma):(0.44, 0.9) model:Amdahl P:4096 n:700 
Completed computation for 345 (mu,gamma):(0.44, 0.9) model:Amdahl P:128 n:200 
Completed computation for 346 (mu,gamma):(0.44, 0.9) model:Amdahl P:8192 n:800 
Completed computation for 347 (mu,gamma):(0.44, 0.9) model:Amdahl P:2048 n:1000 
Completed computation for 348 (mu,gamma):(0.44, 0.9) model:Amdahl P:1024 n:700 
Completed computation for 349 (mu,gamma):(0.44, 0.9) model:Amdahl P:512 n:900 
Completed computation for 350 (mu,gamma):(0.44, 0.9) model:Amdahl P:128 n:300 
Completed computation for 351 (mu,gamma):(0.44, 0.9) model:Amdahl P:4096 n:900 
Completed computation for 352 (mu,gamma):(0.44, 0.9) model:Amdahl P:4096 n:200 
Completed computation for 353 (mu,gamma):(0.44, 0.9) model:Amdahl P:256 n:900 
Completed computation for 354 (mu,gamma):(0.44, 0.9) model:Amdahl P:1024 n:500 
Completed computation for 355 (mu,gamma):(0.44, 0.9) model:Amdahl P:256 n:900 
Completed computation for 356 (mu,gamma):(0.44, 0.9) model:Amdahl P:1024 n:700 
Completed computation for 357 (mu,gamma):(0.44, 0.9) model:Amdahl P:128 n:700 
Completed computation for 358 (mu,gamma):(0.44, 0.9) model:Amdahl P:1024 n:900 
Completed computation for 359 (mu,gamma):(0.44, 0.9) model:Amdahl P:256 n:300 
Completed computation for 360 (mu,gamma):(0.44, 0.9) model:Amdahl P:1024 n:700 
Completed computation for 361 (mu,gamma):(0.44, 0.9) model:Amdahl P:1024 n:800 
Completed computation for 362 (mu,gamma):(0.44, 0.9) model:Amdahl P:256 n:300 
Completed computation for 363 (mu,gamma):(0.44, 0.9) model:Amdahl P:1024 n:800 
Completed computation for 364 (mu,gamma):(0.44, 0.9) model:Amdahl P:2048 n:700 
Completed computation for 365 (mu,gamma):(0.44, 0.9) model:Amdahl P:1024 n:200 
Completed computation for 366 (mu,gamma):(0.44, 0.9) model:Amdahl P:8192 n:900 
Completed computation for 367 (mu,gamma):(0.44, 0.9) model:Amdahl P:256 n:300 
Completed computation for 368 (mu,gamma):(0.44, 0.9) model:Amdahl P:512 n:100 
Completed computation for 369 (mu,gamma):(0.44, 0.9) model:Amdahl P:2048 n:700 
Completed computation for 370 (mu,gamma):(0.44, 0.9) model:Amdahl P:1024 n:800 
Completed computation for 371 (mu,gamma):(0.44, 0.9) model:Amdahl P:128 n:700 
Completed computation for 372 (mu,gamma):(0.44, 0.9) model:Amdahl P:128 n:100 
Completed computation for 373 (mu,gamma):(0.44, 0.9) model:Amdahl P:1024 n:900 
Completed computation for 374 (mu,gamma):(0.44, 0.9) model:Amdahl P:2048 n:300 
Completed computation for 375 (mu,gamma):(0.44, 0.9) model:Amdahl P:2048 n:900 
Completed computation for 376 (mu,gamma):(0.44, 0.9) model:Amdahl P:512 n:800 
Completed computation for 377 (mu,gamma):(0.44, 0.9) model:Amdahl P:512 n:400 
Completed computation for 378 (mu,gamma):(0.44, 0.9) model:Amdahl P:1024 n:500 
Completed computation for 379 (mu,gamma):(0.44, 0.9) model:Amdahl P:2048 n:400 
Completed computation for 380 (mu,gamma):(0.44, 0.9) model:Amdahl P:512 n:800 
Completed computation for 381 (mu,gamma):(0.44, 0.9) model:Amdahl P:2048 n:300 
Completed computation for 382 (mu,gamma):(0.44, 0.9) model:Amdahl P:512 n:400 
Completed computation for 383 (mu,gamma):(0.44, 0.9) model:Amdahl P:1024 n:1000 
Completed computation for 384 (mu,gamma):(0.44, 0.9) model:Amdahl P:1024 n:700 
Completed computation for 385 (mu,gamma):(0.44, 0.9) model:Amdahl P:2048 n:200 
Completed computation for 386 (mu,gamma):(0.44, 0.9) model:Amdahl P:128 n:600 
Completed computation for 387 (mu,gamma):(0.44, 0.9) model:Amdahl P:256 n:200 
Completed computation for 388 (mu,gamma):(0.44, 0.9) model:Amdahl P:256 n:300 
Completed computation for 389 (mu,gamma):(0.44, 0.9) model:Amdahl P:8192 n:400 
Completed computation for 390 (mu,gamma):(0.44, 0.9) model:Amdahl P:2048 n:900 
Completed computation for 391 (mu,gamma):(0.44, 0.9) model:Amdahl P:2048 n:800 
Completed computation for 392 (mu,gamma):(0.44, 0.9) model:Amdahl P:8192 n:1000 
Completed computation for 393 (mu,gamma):(0.44, 0.9) model:Amdahl P:4096 n:100 
Completed computation for 394 (mu,gamma):(0.44, 0.9) model:Amdahl P:128 n:800 
Completed computation for 395 (mu,gamma):(0.44, 0.9) model:Amdahl P:256 n:400 
Completed computation for 396 (mu,gamma):(0.44, 0.9) model:Amdahl P:256 n:500 
Completed computation for 397 (mu,gamma):(0.44, 0.9) model:Amdahl P:8192 n:300 
Completed computation for 398 (mu,gamma):(0.44, 0.9) model:Amdahl P:8192 n:300 
Completed computation for 399 (mu,gamma):(0.44, 0.9) model:Amdahl P:4096 n:800 
Completed computation for 400 (mu,gamma):(0.44, 0.9) model:Amdahl P:256 n:400 
Completed computation for 401 (mu,gamma):(0.44, 0.9) model:Amdahl P:8192 n:900 
Completed computation for 402 (mu,gamma):(0.44, 0.9) model:Amdahl P:128 n:300 
Completed computation for 403 (mu,gamma):(0.44, 0.9) model:Amdahl P:1024 n:500 
Completed computation for 404 (mu,gamma):(0.44, 0.9) model:Amdahl P:256 n:200 
Completed computation for 405 (mu,gamma):(0.44, 0.9) model:Amdahl P:1024 n:200 
Completed computation for 406 (mu,gamma):(0.44, 0.9) model:Amdahl P:128 n:200 
Completed computation for 407 (mu,gamma):(0.44, 0.9) model:Amdahl P:8192 n:400 
Completed computation for 408 (mu,gamma):(0.44, 0.9) model:Amdahl P:512 n:600 
Completed computation for 409 (mu,gamma):(0.44, 0.9) model:Amdahl P:2048 n:900 
Completed computation for 410 (mu,gamma):(0.44, 0.9) model:Amdahl P:2048 n:900 
Completed computation for 411 (mu,gamma):(0.44, 0.9) model:Amdahl P:1024 n:500 
Completed computation for 412 (mu,gamma):(0.44, 0.9) model:Amdahl P:256 n:1000 
Completed computation for 413 (mu,gamma):(0.44, 0.9) model:Amdahl P:256 n:600 
Completed computation for 414 (mu,gamma):(0.44, 0.9) model:Amdahl P:8192 n:600 
Completed computation for 415 (mu,gamma):(0.44, 0.9) model:Amdahl P:8192 n:700 
Completed computation for 416 (mu,gamma):(0.44, 0.9) model:Amdahl P:512 n:200 
Completed computation for 417 (mu,gamma):(0.44, 0.9) model:Amdahl P:128 n:300 
Completed computation for 418 (mu,gamma):(0.44, 0.9) model:Amdahl P:256 n:800 
Completed computation for 419 (mu,gamma):(0.44, 0.9) model:Amdahl P:2048 n:700 
Completed computation for 420 (mu,gamma):(0.44, 0.9) model:Amdahl P:1024 n:700 
Completed computation for 421 (mu,gamma):(0.44, 0.9) model:Amdahl P:8192 n:300 
Completed computation for 422 (mu,gamma):(0.44, 0.9) model:Amdahl P:2048 n:1000 
Completed computation for 423 (mu,gamma):(0.44, 0.9) model:Amdahl P:512 n:700 
Completed computation for 424 (mu,gamma):(0.44, 0.9) model:Amdahl P:8192 n:800 
Completed computation for 425 (mu,gamma):(0.44, 0.9) model:Amdahl P:512 n:800 
Completed computation for 426 (mu,gamma):(0.44, 0.9) model:Amdahl P:1024 n:600 
Completed computation for 427 (mu,gamma):(0.44, 0.9) model:Amdahl P:256 n:200 
Completed computation for 428 (mu,gamma):(0.44, 0.9) model:Amdahl P:8192 n:700 
Completed computation for 429 (mu,gamma):(0.44, 0.9) model:Amdahl P:256 n:800 
Completed computation for 430 (mu,gamma):(0.44, 0.9) model:Amdahl P:1024 n:100 
Completed computation for 431 (mu,gamma):(0.44, 0.9) model:Amdahl P:1024 n:300 
Completed computation for 432 (mu,gamma):(0.44, 0.9) model:Amdahl P:8192 n:800 
Completed computation for 433 (mu,gamma):(0.44, 0.9) model:Amdahl P:4096 n:200 
Completed computation for 434 (mu,gamma):(0.44, 0.9) model:Amdahl P:2048 n:700 
Completed computation for 435 (mu,gamma):(0.44, 0.9) model:Amdahl P:1024 n:200 
Completed computation for 436 (mu,gamma):(0.44, 0.9) model:Amdahl P:128 n:600 
Completed computation for 437 (mu,gamma):(0.44, 0.9) model:Amdahl P:512 n:600 
Completed computation for 438 (mu,gamma):(0.44, 0.9) model:Amdahl P:2048 n:900 
Completed computation for 439 (mu,gamma):(0.44, 0.9) model:Amdahl P:512 n:900 
Completed computation for 440 (mu,gamma):(0.44, 0.9) model:Amdahl P:8192 n:1000 
Completed computation for 441 (mu,gamma):(0.44, 0.9) model:Amdahl P:256 n:300 
Completed computation for 442 (mu,gamma):(0.44, 0.9) model:Amdahl P:512 n:400 
Completed computation for 443 (mu,gamma):(0.44, 0.9) model:Amdahl P:8192 n:800 
Completed computation for 444 (mu,gamma):(0.44, 0.9) model:Amdahl P:128 n:800 
Completed computation for 445 (mu,gamma):(0.44, 0.9) model:Amdahl P:128 n:100 
Completed computation for 446 (mu,gamma):(0.44, 0.9) model:Amdahl P:4096 n:1000 
Completed computation for 447 (mu,gamma):(0.44, 0.9) model:Amdahl P:512 n:300 
Completed computation for 448 (mu,gamma):(0.44, 0.9) model:Amdahl P:4096 n:500 
Completed computation for 449 (mu,gamma):(0.44, 0.9) model:Amdahl P:512 n:1000 
Completed computation for 450 (mu,gamma):(0.44, 0.9) model:Amdahl P:4096 n:400 
Completed computation for 451 (mu,gamma):(0.44, 0.9) model:Amdahl P:512 n:200 
Completed computation for 452 (mu,gamma):(0.44, 0.9) model:Amdahl P:4096 n:600 
Completed computation for 453 (mu,gamma):(0.44, 0.9) model:Amdahl P:2048 n:900 
Completed computation for 454 (mu,gamma):(0.44, 0.9) model:Amdahl P:4096 n:700 
Completed computation for 455 (mu,gamma):(0.44, 0.9) model:Amdahl P:256 n:400 
Completed computation for 456 (mu,gamma):(0.44, 0.9) model:Amdahl P:2048 n:400 
Completed computation for 457 (mu,gamma):(0.44, 0.9) model:Amdahl P:2048 n:100 
Completed computation for 458 (mu,gamma):(0.44, 0.9) model:Amdahl P:128 n:1000 
Completed computation for 459 (mu,gamma):(0.44, 0.9) model:Amdahl P:256 n:600 
Completed computation for 460 (mu,gamma):(0.44, 0.9) model:Amdahl P:2048 n:500 
Completed computation for 461 (mu,gamma):(0.44, 0.9) model:Amdahl P:512 n:400 
Completed computation for 462 (mu,gamma):(0.44, 0.9) model:Amdahl P:1024 n:1000 
Completed computation for 463 (mu,gamma):(0.44, 0.9) model:Amdahl P:4096 n:800 
Completed computation for 464 (mu,gamma):(0.44, 0.9) model:Amdahl P:4096 n:300 
Completed computation for 465 (mu,gamma):(0.44, 0.9) model:Amdahl P:2048 n:300 
Completed computation for 466 (mu,gamma):(0.44, 0.9) model:Amdahl P:512 n:400 
Completed computation for 467 (mu,gamma):(0.44, 0.9) model:Amdahl P:256 n:200 
Completed computation for 468 (mu,gamma):(0.44, 0.9) model:Amdahl P:8192 n:400 
Completed computation for 469 (mu,gamma):(0.44, 0.9) model:Amdahl P:4096 n:1000 
Completed computation for 470 (mu,gamma):(0.44, 0.9) model:Amdahl P:512 n:100 
Completed computation for 471 (mu,gamma):(0.44, 0.9) model:Amdahl P:4096 n:200 
Completed computation for 472 (mu,gamma):(0.44, 0.9) model:Amdahl P:512 n:200 
Completed computation for 473 (mu,gamma):(0.44, 0.9) model:Amdahl P:512 n:1000 
Completed computation for 474 (mu,gamma):(0.44, 0.9) model:Amdahl P:8192 n:500 
Completed computation for 475 (mu,gamma):(0.44, 0.9) model:Amdahl P:128 n:700 
Completed computation for 476 (mu,gamma):(0.44, 0.9) model:Amdahl P:8192 n:600 
Completed computation for 477 (mu,gamma):(0.44, 0.9) model:Amdahl P:1024 n:800 
Completed computation for 478 (mu,gamma):(0.44, 0.9) model:Amdahl P:1024 n:100 
Completed computation for 479 (mu,gamma):(0.44, 0.9) model:Amdahl P:2048 n:1000 
Completed computation for 480 (mu,gamma):(0.44, 0.9) model:Amdahl P:1024 n:300 
Completed computation for 481 (mu,gamma):(0.44, 0.9) model:Amdahl P:2048 n:300 
Completed computation for 482 (mu,gamma):(0.44, 0.9) model:Amdahl P:8192 n:400 
Completed computation for 483 (mu,gamma):(0.44, 0.9) model:Amdahl P:256 n:500 
Completed computation for 484 (mu,gamma):(0.44, 0.9) model:Amdahl P:128 n:200 
Completed computation for 485 (mu,gamma):(0.44, 0.9) model:Amdahl P:1024 n:500 
Completed computation for 486 (mu,gamma):(0.44, 0.9) model:Amdahl P:256 n:600 
Completed computation for 487 (mu,gamma):(0.44, 0.9) model:Amdahl P:4096 n:400 
Completed computation for 488 (mu,gamma):(0.44, 0.9) model:Amdahl P:128 n:500 
Completed computation for 489 (mu,gamma):(0.44, 0.9) model:Amdahl P:256 n:100 
Completed computation for 490 (mu,gamma):(0.44, 0.9) model:Amdahl P:256 n:200 
Completed computation for 491 (mu,gamma):(0.44, 0.9) model:Amdahl P:8192 n:900 
Completed computation for 492 (mu,gamma):(0.44, 0.9) model:Amdahl P:256 n:500 
Completed computation for 493 (mu,gamma):(0.44, 0.9) model:Amdahl P:4096 n:900 
Completed computation for 494 (mu,gamma):(0.44, 0.9) model:Amdahl P:1024 n:1000 
Completed computation for 495 (mu,gamma):(0.44, 0.9) model:Amdahl P:2048 n:600 
Completed computation for 496 (mu,gamma):(0.44, 0.9) model:Amdahl P:1024 n:900 
Completed computation for 497 (mu,gamma):(0.44, 0.9) model:Amdahl P:1024 n:400 
Completed computation for 498 (mu,gamma):(0.44, 0.9) model:Amdahl P:128 n:200 
Completed computation for 499 (mu,gamma):(0.44, 0.9) model:Amdahl P:2048 n:400 
Completed computation for 500 (mu,gamma):(0.44, 0.9) model:Amdahl P:2048 n:800 
Completed computation for 501 (mu,gamma):(0.44, 0.9) model:Amdahl P:128 n:900 
Completed computation for 502 (mu,gamma):(0.44, 0.9) model:Amdahl P:8192 n:600 
Completed computation for 503 (mu,gamma):(0.44, 0.9) model:Amdahl P:128 n:700 
Completed computation for 504 (mu,gamma):(0.44, 0.9) model:Amdahl P:1024 n:600 
Completed computation for 505 (mu,gamma):(0.44, 0.9) model:Amdahl P:2048 n:300 
Completed computation for 506 (mu,gamma):(0.44, 0.9) model:Amdahl P:8192 n:900 
Completed computation for 507 (mu,gamma):(0.44, 0.9) model:Amdahl P:4096 n:900 
Completed computation for 508 (mu,gamma):(0.44, 0.9) model:Amdahl P:4096 n:800 
Completed computation for 509 (mu,gamma):(0.44, 0.9) model:Amdahl P:128 n:700 
Completed computation for 510 (mu,gamma):(0.44, 0.9) model:Amdahl P:128 n:400 
Completed computation for 511 (mu,gamma):(0.44, 0.9) model:Amdahl P:2048 n:200 
Completed computation for 512 (mu,gamma):(0.44, 0.9) model:Amdahl P:1024 n:600 
Completed computation for 513 (mu,gamma):(0.44, 0.9) model:Amdahl P:128 n:300 
Completed computation for 514 (mu,gamma):(0.44, 0.9) model:Amdahl P:128 n:900 
Completed computation for 515 (mu,gamma):(0.44, 0.9) model:Amdahl P:1024 n:600 
Completed computation for 516 (mu,gamma):(0.44, 0.9) model:Amdahl P:256 n:300 
Completed computation for 517 (mu,gamma):(0.44, 0.9) model:Amdahl P:4096 n:200 
Completed computation for 518 (mu,gamma):(0.44, 0.9) model:Amdahl P:1024 n:800 
Completed computation for 519 (mu,gamma):(0.44, 0.9) model:Amdahl P:4096 n:100 
Completed computation for 520 (mu,gamma):(0.44, 0.9) model:Amdahl P:128 n:400 
Completed computation for 521 (mu,gamma):(0.44, 0.9) model:Amdahl P:256 n:400 
Completed computation for 522 (mu,gamma):(0.44, 0.9) model:Amdahl P:128 n:700 
Completed computation for 523 (mu,gamma):(0.44, 0.9) model:Amdahl P:1024 n:500 
Completed computation for 524 (mu,gamma):(0.44, 0.9) model:Amdahl P:4096 n:800 
Completed computation for 525 (mu,gamma):(0.44, 0.9) model:Amdahl P:2048 n:100 
Completed computation for 526 (mu,gamma):(0.44, 0.9) model:Amdahl P:8192 n:200 
Completed computation for 527 (mu,gamma):(0.44, 0.9) model:Amdahl P:128 n:100 
Completed computation for 528 (mu,gamma):(0.44, 0.9) model:Amdahl P:512 n:800 
Completed computation for 529 (mu,gamma):(0.44, 0.9) model:Amdahl P:1024 n:700 
Completed computation for 530 (mu,gamma):(0.44, 0.9) model:Amdahl P:4096 n:100 
Completed computation for 531 (mu,gamma):(0.44, 0.9) model:Amdahl P:512 n:300 
Completed computation for 532 (mu,gamma):(0.44, 0.9) model:Amdahl P:4096 n:200 
Completed computation for 533 (mu,gamma):(0.44, 0.9) model:Amdahl P:1024 n:400 
Completed computation for 534 (mu,gamma):(0.44, 0.9) model:Amdahl P:1024 n:400 
Completed computation for 535 (mu,gamma):(0.44, 0.9) model:Amdahl P:4096 n:700 
Completed computation for 536 (mu,gamma):(0.44, 0.9) model:Amdahl P:8192 n:1000 
Completed computation for 537 (mu,gamma):(0.44, 0.9) model:Amdahl P:128 n:400 
Completed computation for 538 (mu,gamma):(0.44, 0.9) model:Amdahl P:128 n:300 
Completed computation for 539 (mu,gamma):(0.44, 0.9) model:Amdahl P:256 n:600 
Completed computation for 540 (mu,gamma):(0.44, 0.9) model:Amdahl P:256 n:400 
Completed computation for 541 (mu,gamma):(0.44, 0.9) model:Amdahl P:8192 n:400 
Completed computation for 542 (mu,gamma):(0.44, 0.9) model:Amdahl P:8192 n:300 
Completed computation for 543 (mu,gamma):(0.44, 0.9) model:Amdahl P:4096 n:400 
Completed computation for 544 (mu,gamma):(0.44, 0.9) model:Amdahl P:8192 n:200 
Completed computation for 545 (mu,gamma):(0.44, 0.9) model:Amdahl P:256 n:200 
Completed computation for 546 (mu,gamma):(0.44, 0.9) model:Amdahl P:8192 n:500 
Completed computation for 547 (mu,gamma):(0.44, 0.9) model:Amdahl P:512 n:1000 
Completed computation for 548 (mu,gamma):(0.44, 0.9) model:Amdahl P:1024 n:100 
Completed computation for 549 (mu,gamma):(0.44, 0.9) model:Amdahl P:128 n:500 
Completed computation for 550 (mu,gamma):(0.44, 0.9) model:Amdahl P:4096 n:200 
Completed computation for 551 (mu,gamma):(0.44, 0.9) model:Amdahl P:8192 n:900 
Completed computation for 552 (mu,gamma):(0.44, 0.9) model:Amdahl P:512 n:600 
Completed computation for 553 (mu,gamma):(0.44, 0.9) model:Amdahl P:2048 n:700 
Completed computation for 554 (mu,gamma):(0.44, 0.9) model:Amdahl P:128 n:200 
Completed computation for 555 (mu,gamma):(0.44, 0.9) model:Amdahl P:2048 n:300 
Completed computation for 556 (mu,gamma):(0.44, 0.9) model:Amdahl P:128 n:500 
Completed computation for 557 (mu,gamma):(0.44, 0.9) model:Amdahl P:4096 n:900 
Completed computation for 558 (mu,gamma):(0.44, 0.9) model:Amdahl P:4096 n:900 
Completed computation for 559 (mu,gamma):(0.44, 0.9) model:Amdahl P:512 n:300 
Completed computation for 560 (mu,gamma):(0.44, 0.9) model:Amdahl P:128 n:500 
Completed computation for 561 (mu,gamma):(0.44, 0.9) model:Amdahl P:256 n:800 
Completed computation for 562 (mu,gamma):(0.44, 0.9) model:Amdahl P:4096 n:500 
Completed computation for 563 (mu,gamma):(0.44, 0.9) model:Amdahl P:8192 n:400 
Completed computation for 564 (mu,gamma):(0.44, 0.9) model:Amdahl P:1024 n:800 
Completed computation for 565 (mu,gamma):(0.44, 0.9) model:Amdahl P:512 n:1000 
Completed computation for 566 (mu,gamma):(0.44, 0.9) model:Amdahl P:128 n:900 
